Wavelength (nm),1_Co3O4_b2_d2_c3_s8 - quartz
1241,0.11295
1242,0.11302
1243,0.11413
1244,0.11408
1245,0.11385
1246,0.11465
1247,0.1146
1248,0.1157
1249,0.11586
1250,0.1167
1251,0.1166
1252,0.11637
1253,0.11761
1254,0.11764
1255,0.11781
1256,0.1186
1257,0.11871
1258,0.11874
1259,0.11979
1260,0.11975
1261,0.12083
1262,0.12082
1263,0.12081
1264,0.1207
1265,0.12089
1266,0.12191
1267,0.12185
1268,0.12268
1269,0.12275
1270,0.12386
1271,0.12399
1272,0.12396
1273,0.12399
1274,0.12475
1275,0.12477
1276,0.12483
1277,0.12493
1278,0.12579
1279,0.12584
1280,0.12577
1281,0.126
1282,0.1257
1283,0.12671
1284,0.12663
1285,0.12653
1286,0.12655
1287,0.12668
1288,0.12774
1289,0.12764
1290,0.12767
1291,0.1287
1292,0.12897
1293,0.12975
1294,0.12978
1295,0.12979
1296,0.13085
1297,0.13081
1298,0.13074
1299,0.13088
1300,0.13089
1301,0.13186
1302,0.13156
1303,0.13153
1304,0.13171
1305,0.13316
1306,0.13316
1307,0.13412
1308,0.13382
1309,0.13394
1310,0.13394
1311,0.13385
1312,0.13499
1313,0.13481
1314,0.13486
1315,0.13579
1316,0.13597
1317,0.13599
1318,0.13608
1319,0.13567
1320,0.13565
1321,0.13537
1322,0.13551
1323,0.13564
1324,0.13562
1325,0.1358
1326,0.13561
1327,0.13687
1328,0.13568
1329,0.13686
1330,0.13599
1331,0.13702
1332,0.13692
1333,0.13597
1334,0.13614
1335,0.13619
1336,0.13602
1337,0.13607
1338,0.13574
1339,0.13556
1340,0.1355
1341,0.13556
1342,0.13563
1343,0.13547
1344,0.13566
1345,0.13565
1346,0.1348
1347,0.13485
1348,0.13506
1349,0.13479
1350,0.13493
1351,0.13489
1352,0.13489
1353,0.13478
1354,0.13462
1355,0.13484
1356,0.13467
1357,0.1347
1358,0.1337
1359,0.13381
1360,0.13367
1361,0.13272
1362,0.13271
